fid;Norm Integrate;Norm Integrate;Norm Public Green;Norm Public Area;Norm public amenities;PM10_normnew;PM25_normnew;NO2_normnew;SO2_normnew;BAP_normnew;BZN_normnew;Treec_norm;Buildings_clipped_intersected_NEW_pc;n_weighed_uniq_bio_hab;Normalized_eco_corr_overlap_area;N_round_m_floodpplain biotope value;Floodplain_restoration_rounded;Percentage_habitat_n;n_w_length;majority_value;Imper_norm;LST_norm;Floodplain Norm;NDVI_norm
91;0,0000;0,0000;0,0000;0,0000;0,0000;0,3330;0,2000;0,1430;0,4000;0,0630;2,0000;0,8280;0,0000;0,3000;0,0000;0,0000;0,0000;0,9000;0,0000;1,0000;0,0000;0,5720;1,0000;0,2500
92;0,0000;0,0000;0,0000;0,0000;0,0000;0,1670;0,2000;0,1430;0,2000;0,0630;2,0000;0,5630;4,0606;0,1000;0,0000;0,0000;0,0000;0,2000;0,0000;2,0000;0,0720;0,5160;2,0000;0,2790
93;0,0999;0,0999;0,0000;0,0000;0,0000;0,1670;0,2000;0,1430;0,4000;0,0630;2,0000;0,8480;5,7602;0,3000;0,1000;0,0000;0,0000;0,0000;0,0000;2,0000;0,0720;0,5160;2,0000;0,3370
94;0,5975;0,5975;0,0000;0,0000;0,0000;0,1670;0,2000;0,1430;0,4000;0,0630;2,0000;1,0000;11,1314;0,0000;0,1000;0,0000;0,0000;0,0000;0,0000;1,0000;0,1110;0,5160;1,0000;0,3960
95;0,3444;0,3444;0,0000;0,0000;0,0000;0,1670;0,2000;0,1430;0,4000;0,0630;2,0000;1,0000;8,8313;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;1,0000;0,5490;0,5140;1,0000;0,5330
96;0,4610;0,4610;0,0000;0,0000;0,0000;0,1670;0,2000;0,1430;0,4000;0,0630;2,0000;0,7360;10,5489;0,3000;0,0000;0,0000;0,0000;0,2000;0,0000;1,0000;0,5570;0,4940;1,0000;0,4920
97;0,2168;0,2168;0,0000;0,0000;0,0000;0,1670;0,2000;0,1430;0,4000;0,0630;2,0000;0,0270;0,0000;0,3000;0,0000;0,0000;0,0000;0,2000;1,0000;2,0000;0,0860;0,5530;2,0000;0,2590
98;0,5927;0,5927;0,0000;0,0000;0,0000;0,1670;0,2000;0,1430;0,4000;0,0630;2,0000;0,7060;5,6391;0,0000;0,0000;0,0000;0,0000;0,0000;1,0000;2,0000;0,1500;0,6350;2,0000;0,3800
99;0,5900;0,5900;0,0000;0,0000;0,0000;0,1670;0,2000;0,1430;0,4000;0,0310;2,0000;1,0000;18,8312;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;2,0000;0,6960;0,6300;2,0000;0,5600
100;0,5619;0,5619;0,0000;0,0000;0,0000;0,1670;0,2000;0,1430;0,4000;0,0310;2,0000;1,0000;9,7958;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;1,0000;0,5140;0,6300;1,0000;0,4710
101;0,4540;0,4540;0,0000;0,0000;0,0000;0,1670;0,2000;0,1430;0,4000;0,0310;2,0000;1,0000;11,3260;0,0000;0,1000;0,0000;0,0000;0,0000;0,0000;1,0000;0,2750;0,6300;1,0000;0,4460
